id,nombre,precio_oferta,precio
404760,SQUAQUERELLO,<nil>,1.39
404902,MORTADELLA BOLOGNA IGP ,<nil>,4.99
405999,RISO GALLO,2.20,3.30
406178,TOVAGLIOLI,<nil>,1.59
406232,TEGAME 2 MANIGLIE 28 CM,<nil>,13.90
404968,SANBITTER ,<nil>,3.99
404663,ARANCE TAROCCO COAL ,<nil>,1.99
404682,INSALATA POKER RUCOLAE CAROTE,<nil>,0.89
404698,HAMBURGER CON FUNGHI ,<nil>,11.90
404704,CORDON BLEU AIA ,<nil>,4.49
404912,WURSTEL PURO DI SUINO COAL ,<nil>,1.35
404941,PASSERINA FRIZZANTE IGT NINO 55,<nil>,2.99
405995,RISO GALLO BLOND INTEGRALE ,<nil>,2.49
404677,SPINACI ,<nil>,1.99
404691,FETTINE SCELTISSIME DI VITELLO,<nil>,17.49
404772,PROSCIUTTO CRUDO,<nil>,1.69
404819,FETTINE KRAFT ,<nil>,1.49
404904,PASTA FRESCA RIPIENA MOSCONI ,<nil>,3.59
404991,OLIO DI SEMI DI GIRASOLE,3.68,5.49
405019,MISTRA,<nil>,7.39
405888,KINDER PANECIOC,<nil>,2.49
404816,MOZZARELLA OGGI PUOI GRANAROLO,<nil>,2.99
404926,FILETTI DI MERLUZZO ALLA MUGNAIA FROSTA ,3.14,4.69
405016,TAVOLETTE GALAK,<nil>,1.99
405028,BEVANDA AL LATTE DI MANDORLA MANDORLÈ,1.67,2.49
406144,SHAMPOO/BALSAMO PANTENE,<nil>,2.99
404695,BUSTO DI POLLO SENZA PETTO,<nil>,2.99
404762,SCAMORZA,<nil>,1.19
404801,BACCALA' FRAZIONATO 10/12 ,<nil>,2.09
404921,SPINACI CUBELLO FOGLIA PIU' OROGEL ,2.67,3.99
404680,MISTICANZA ,<nil>,0.89
404763,PROVOLONE PICCANTE SORESINA ,<nil>,1.19
404765,CACIOTTA DI MUCCA TAVERNALE ,<nil>,1.49
406040,GLASSA ALL'ACETO BALSAMICO COAL ,<nil>,1.89
406230,RETTANGOLARE 35X24 CM,<nil>,19.90
404962,BIRRA ICHNUSA,<nil>,1.49
404690,PETTO DI POLLO INTERO ,<nil>,8.90
404699,PETTO DI POLLO CROCCANTE ,<nil>,11.90
404702,HAMBURGER DELICATO AMADORI ,<nil>,2.19
404769,SPECK ALPENROSE ,<nil>,1.59
404919,SEPPIE INTERE PULITE COAL ,<nil>,6.89
405018,LIQUORE ALCHERMES,<nil>,5.49
405029,ORZO MONDO MOKA 3 GOBBETTI,1.37,2.05
404683,BROCCOLO FILMATO,<nil>,0.99
404693,COPPA CON OSSO,<nil>,5.90
404814,MAASDAM/FONTAL COAL ,<nil>,2.59
404829,SPALMABILE NUVOLA SANTA LUCIA GALBANI,1.27,1.89
404909,GRAN CRUDO SNELLO,<nil>,2.99
406044,OLIO EXTRA VERGINE DI OLIVA 100% ITALIANO,<nil>,9.49
406212,PADELLA 24 CM,<nil>,9.90
404794,MORTADELLA FAVOLA,<nil>,1.33
405025,CAFFE' KIMBO MACINATO FRESCO,<nil>,2.99
405899,LINEA SI CON RISO SCOTTI ,<nil>,2.49
406004,OLIVOLI' SNOCCIOLATE SACLA',1.13,1.69
404661,PROSSCIUTTO COTTO ,1.53,2.29
404664,UOVA COPAV ,1.27,1.89
404766,FORMAGGIO DI PECORA,<nil>,1.89
404834,PANNA CHEF SENZA LATTOSIO PARMALAT ,<nil>,2.99
404915,SUGO 4 FORMAGGI BUITONI,2.00,2.99
404918,PISELLI NOVELLI FINDUS ,<nil>,3.99
404925,CROCCOLE FINDUS ,<nil>,3.99
404983,BEVANDE SAN BENEDETTO,0.54,0.80
404830,FIOCCHI DI LATTE SANTA LUCIA GALBANI ,1.17,1.75
404889,SPECK IGP SENFTER ,<nil>,2.69
405986,POMODORINI ROSSO GARGANO ,0.77,1.15
405997,RISO GALLO ,<nil>,2.49
406139,SAPONE LIQUIDO,1.94,2.89
404673,OLIO EXTRA VERGINE DI OLIVA CORICELLI,6.49,9.99
404685,KIWI HAYWARD,<nil>,2.49
404920,PIZZA RISTORANTE CAMEO ,<nil>,2.89
404927,FIORI DI MERLUZZO FINDUS ,<nil>,6.99
404942,VINO BOSCO,<nil>,5.69
405908,GRANELLA DI NOCCIOLE,<nil>,2.29
404662,TONNO MARUZZELLA ,2.00,2.99
404761,CAMOSCIO D'ORO ,<nil>,1.39
404984,BURRO LA MONTANARA ORO DELLA TORRE ,3.61,5.39
405980,LENTICCHIA BONTA' MEDITERRANEA,<nil>,2.49
404828,STRACCIATELLA TAKE AWAY ,<nil>,2.89
404874,SALMONE NORVEGESE AFFUMICATO,<nil>,4.59
405892,BISCOTTI MULINO BIANCO,<nil>,1.99
405903,BISCOTTI MULTICEREALI SENZA LATTOSIO ,<nil>,1.99
405910,PANE DI GRANO DURO MULINO BIANCO ,<nil>,1.09
406054,OLIO EXTRA VERGINE DI OLIVA,7.36,10.99
404678,MANDORLE SGUSCIATE,<nil>,1.99
404767,LONZINO,<nil>,1.99
404832,GRAN MIX CLASSICO FERRARI ,<nil>,1.59
404952,VERDICCHIO CASTELLI DI JESI DOC,<nil>,4.99
405913,PANGRATTATO FORNO DI FERENTILLO ,<nil>,1.69
406171,CARTA CUCINA,1.94,2.89
406233,CASSERUOLA 2 MANIGLIE 24 CM,<nil>,15.90
404689,CICORIA COAL ,<nil>,1.49
404696,SALSICCIA DI POLLO E TACCHINO EUROPOLLI ,<nil>,11.79
405916,PANE A FETTE FERENTILLO ,<nil>,0.89
